Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
AALNV;09;MSL063;2023-12-02;18:00;0757777;PARIS Volley;0337145;AS ILLACAISE VB;;;;PIERRE CHARPY;CARQUIN JEROME;KARA MAXIME;;
AALNV;10;MSL064;2023-12-05;20:00;0594680;TOURCOING VB LILLE METROPOLE;0442477;NANTES REZE METROPOLE;;;;STAB - ROUBAIX;GILBERT SYLVAIN;CARRE SYLVAIN;;
AALNV;10;MSL065;2023-12-05;19:30;0114939;NARBONNE Volley;0343330;ARAGO DE SETE;;;;L'ARENA;MALAGOLI CHARLENE;SIEGL FREDERIC;;
AALNV;10;MSL066;2023-12-05;20:00;0337145;AS ILLACAISE VB;0066927;NICE Volley-Ball;;;;PIERRE FAVRE;GUILLET OLIVIER;ZGHEIB JOSEPH;;
AALNV;10;MSL067;2023-12-05;20:00;0314739;SPACER'S TOULOUSE Volley-Ball;0349271;MONTPELLIER CASTELNAU Volley UC;;;;ANDRE BROUAT;REJAEYAN EHSAN;GALANT PHILIPPE;;
AALNV;10;MSL068;2023-12-05;20:00;0523906;CHAUMONT VB 52 HAUTE-MARNE;0757777;PARIS Volley;;;;PALESTRA;HEPP CAROLE;LAUNOIS SYLVAIN;;
AALNV;10;MSL069;2023-12-05;20:00;0929372;PLESSIS-ROBINSON Volley-Ball;0374861;TOURS Volley-Ball;;;;ESP. OMNISPORTS;BRASSART GEOFFREY;MORCHOISNE FRANCK;;
AALNV;10;MSL070;2023-12-05;20:00;0862447;ALTERNA STADE POITEVIN VB;0449605;ST NAZAIRE VB ATLANTIQUE;;;;LAWSON BODY;DJADOUN BRAHIM;VIGNERON CHRISTOPHE;;
AALNV;11;MSL071;2023-12-09;18:00;0314739;SPACER'S TOULOUSE Volley-Ball;0337145;AS ILLACAISE VB;;;;ANDRE BROUAT;ISNARD ADRIEN;CHOUMAN ALAIN;;
AALNV;11;MSL072;2023-12-09;19:00;0374861;TOURS Volley-Ball;0594680;TOURCOING VB LILLE METROPOLE;;;;ROBERT GRENON;BERARD MARC;COLLADOS FABRICE;;
AALNV;11;MSL073;2023-12-09;19:30;0114939;NARBONNE Volley;0066927;NICE Volley-Ball;;;;L'ARENA;GALANT PHILIPPE;GILBERT SYLVAIN;;
AALNV;11;MSL074;2023-12-09;20:00;0449605;ST NAZAIRE VB ATLANTIQUE;0343330;ARAGO DE SETE;;;;COUBERTIN;ZGHEIB JOSEPH;HOUNNOUKPE JOEL;;
AALNV;11;MSL075;2023-12-09;19:30;0349271;MONTPELLIER CASTELNAU Volley UC;0523906;CHAUMONT VB 52 HAUTE-MARNE;;;;CHABAN DELMAS;GADENNE CAMILLE;JACOB SEBASTIEN;;
AALNV;11;MSL076;2023-12-09;20:00;0442477;NANTES REZE METROPOLE;0862447;ALTERNA STADE POITEVIN VB;;;;LA TROCARDIÈRE;LAUNOIS SYLVAIN;VANDERBEEKEN STEFAN;;
AALNV;11;MSL077;2023-12-08;20:00;0757777;PARIS Volley;0929372;PLESSIS-ROBINSON Volley-Ball;;;;PIERRE CHARPY;HAYAUX DU TILLY MATHILDE;JUAN STEPHANE;;
AALNV;12;MSL078;2023-12-16;19:00;0337145;AS ILLACAISE VB;0862447;ALTERNA STADE POITEVIN VB;;;;PIERRE FAVRE;LEBALC'H PIERRICK;VIGNERON CHRISTOPHE;;
AALNV;12;MSL079;2023-12-16;19:00;0929372;PLESSIS-ROBINSON Volley-Ball;0314739;SPACER'S TOULOUSE Volley-Ball;;;;ESP. OMNISPORTS;RAGUET PATRICK;BERARD MARC;;
AALNV;12;MSL080;2023-12-16;19:00;0594680;TOURCOING VB LILLE METROPOLE;0449605;ST NAZAIRE VB ATLANTIQUE;;;;MARECHAL - HARNES;KAISER CHANTAL;CARQUIN JEROME;;
AALNV;12;MSL081;2023-12-16;19:30;0343330;ARAGO DE SETE;0523906;CHAUMONT VB 52 HAUTE-MARNE;;;;LOUIS MARTY;COLLADOS FABRICE;CARRE SYLVAIN;;
AALNV;12;MSL082;2023-12-16;19:00;0066927;NICE Volley-Ball;0374861;TOURS Volley-Ball;;;;PALMEIRA;JACOB SEBASTIEN;KARA MAXIME;;
AALNV;12;MSL083;2023-12-16;19:30;0114939;NARBONNE Volley;0442477;NANTES REZE METROPOLE;;;;L'ARENA;CHOUMAN ALAIN;HOUNNOUKPE JOEL;;
AALNV;12;MSL084;2023-12-15;20:00;0349271;MONTPELLIER CASTELNAU Volley UC;0757777;PARIS Volley;;;;CHABAN DELMAS;SIEGL FREDERIC;LAUNOIS SYLVAIN;;
AALNV;13;MSL085;2023-12-30;19:00;0594680;TOURCOING VB LILLE METROPOLE;0349271;MONTPELLIER CASTELNAU Volley UC;;;;STAB - ROUBAIX;GALANT PHILIPPE;JACOB SEBASTIEN;;
AALNV;13;MSL086;2023-12-30;19:30;0862447;ALTERNA STADE POITEVIN VB;0114939;NARBONNE Volley;;;;LAWSON BODY;COLLADOS FABRICE;GADENNE CAMILLE;;
AALNV;13;MSL087;2023-12-30;20:00;0523906;CHAUMONT VB 52 HAUTE-MARNE;0314739;SPACER'S TOULOUSE Volley-Ball;;;;PALESTRA;LECOURT CHRISTOPHE;HEPP CAROLE;;
AALNV;13;MSL088;2023-12-30;20:00;0442477;NANTES REZE METROPOLE;0929372;PLESSIS-ROBINSON Volley-Ball;;;;LA TROCARDIÈRE;LEBALC'H PIERRICK;BRASSART GEOFFREY;;
AALNV;13;MSL089;2023-12-30;20:00;0449605;ST NAZAIRE VB ATLANTIQUE;0337145;AS ILLACAISE VB;;;;COUBERTIN;LAUNOIS SYLVAIN;CARRE SYLVAIN;;
AALNV;13;MSL090;2023-12-30;20:00;0374861;TOURS Volley-Ball;0343330;ARAGO DE SETE;;;;ROBERT GRENON;VIGNERON CHRISTOPHE;ISNARD ADRIEN;;
AALNV;13;MSL091;2023-12-30;20:00;0757777;PARIS Volley;0066927;NICE Volley-Ball;;;;PIERRE CHARPY;BOUACHERIA SEBASTIEN;JUAN STEPHANE;;
AALNV;14;MSL092;2024-01-03;19:30;0114939;NARBONNE Volley;0523906;CHAUMONT VB 52 HAUTE-MARNE;;;;L'ARENA;COLLADOS FABRICE;GUILLET OLIVIER;;
AALNV;14;MSL093;2024-01-03;19:00;0337145;AS ILLACAISE VB;0442477;NANTES REZE METROPOLE;;;;PIERRE FAVRE;GADENNE CAMILLE;KARA MAXIME;;
AALNV;14;MSL094;2024-01-03;19:30;0343330;ARAGO DE SETE;0349271;MONTPELLIER CASTELNAU Volley UC;;;;LOUIS MARTY;CHOUMAN ALAIN;SIEGL FREDERIC;;
AALNV;14;MSL095;2024-01-03;20:00;0374861;TOURS Volley-Ball;0757777;PARIS Volley;;;;ROBERT GRENON;BRASSART GEOFFREY;ZGHEIB JOSEPH;;
AALNV;14;MSL096;2024-01-03;20:00;0314739;SPACER'S TOULOUSE Volley-Ball;0862447;ALTERNA STADE POITEVIN VB;;;;ANDRE BROUAT;ISNARD ADRIEN;MORCHOISNE FRANCK;;
AALNV;14;MSL097;2024-01-03;20:00;0929372;PLESSIS-ROBINSON Volley-Ball;0594680;TOURCOING VB LILLE METROPOLE;;;;ESP. OMNISPORTS;VIGNERON CHRISTOPHE;HAYAUX DU TILLY MATHILDE;;
AALNV;14;MSL098;2024-01-03;19:30;0066927;NICE Volley-Ball;0449605;ST NAZAIRE VB ATLANTIQUE;;;;PALMEIRA;GALANT PHILIPPE;MALAGOLI CHARLENE;;
AALNV;15;MSL099;2024-01-06;19:00;0594680;TOURCOING VB LILLE METROPOLE;0757777;PARIS Volley;;;;STAB - ROUBAIX;ISNARD ADRIEN;RAGUET PATRICK;;
AALNV;15;MSL100;2024-01-07;17:00;0343330;ARAGO DE SETE;0929372;PLESSIS-ROBINSON Volley-Ball;;;;LOUIS MARTY;COLLADOS FABRICE;GALANT PHILIPPE;;
