Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;02;CFN004;2023-11-12;13:00;0319191;VOLLEY BALMA QUINT FONSEGRIVES;0819413;VOLLEY CLUB BASTIDIEN; 2/0;25-16,25-16;50-32;COLLÈGE DE BALMA;NIEL MAXIME;RIGOBERT JEROME;;
ACJEUNES;02;CFN005;2023-11-12;00:00;0819413;VOLLEY CLUB BASTIDIEN;0348292;VOLLEY BALL DE GIGNAC; 2/1;25-19,21-25,15-8;61-52;COLLÈGE DE BALMA;NIEL MAXIME;RIGOBERT JEROME;;
ACJEUNES;02;CFN006;2023-11-12;00:00;0319191;VOLLEY BALMA QUINT FONSEGRIVES;0348292;VOLLEY BALL DE GIGNAC; 2/0;25-18,25-19;50-37;COLLÈGE DE BALMA;RIGOBERT JEROME;NIEL MAXIME;;
ACJEUNES;02;CFO004;2023-11-12;11:00;0635997;STADE CLERMONTOIS;0639238;CEBAZAT VOLLEY-BALL; 0/2;17-25,22-25;39-50;GYMNASE RAYMOND PERRIER;CANDELA LOUISE;THOMAS MARIE;;
ACJEUNES;02;CFO005;2023-11-12;00:00;0639238;CEBAZAT VOLLEY-BALL;0344410;ASLJCROIX ARGENT MONTPELLIER; 0/2;19-25,9-25;28-50;GYMNASE RAYMOND PERRIER;THOMAS MARIE;CANDELA LOUISE;;
ACJEUNES;02;CFO006;2023-11-12;00:00;0635997;STADE CLERMONTOIS;0344410;ASLJCROIX ARGENT MONTPELLIER; 0/2;8-25,19-25;27-50;GYMNASE RAYMOND PERRIER;CANDELA LOUISE;THOMAS MARIE;;
ACJEUNES;02;CFP004;2023-11-12;11:00;0138032;PAYS D'AIX VENELLES V.B.;0062701;ASS SPORTIVE DE MONACO; 2/0;25-22,25-17;50-39;HALLE DES SPORTS;BOULBES ALICE;BOULBES MATHILDE;;
ACJEUNES;02;CFP005;2023-11-12;00:00;0062701;ASS SPORTIVE DE MONACO;02A5803;GFCA VOLLEY-BALL; 2/0;25-8,25-16;50-24;HALLE DES SPORTS;BOULBES MATHILDE;BOULBES ALICE;;
ACJEUNES;02;CFP006;2023-11-12;00:00;0138032;PAYS D'AIX VENELLES V.B.;02A5803;GFCA VOLLEY-BALL; 2/0;25-9,25-21;50-30;HALLE DES SPORTS;BOULBES ALICE;BOULBES MATHILDE;;
ACJEUNES;02;CFQ004;2023-11-12;11:00;0842425;U.S. PONTET VOLLEY AVENIR;0132348;MARSEILLE VOLLEY 13; 2/0;25-17,25-10;50-27;LA GRAVIERE;TOSIN MICHEL;DAHMANE ABDALLAH;;
ACJEUNES;02;CFQ005;2023-11-12;00:00;0132348;MARSEILLE VOLLEY 13;0067686;VOLERO LE CANNET COTE D'AZUR; 0/2;22-25,16-25;38-50;LA GRAVIERE;DAHMANE ABDALLAH;TOSIN MICHEL;;
ACJEUNES;02;CFQ006;2023-11-12;00:00;0842425;U.S. PONTET VOLLEY AVENIR;0067686;VOLERO LE CANNET COTE D'AZUR; 0/2;13-25,21-25;34-50;LA GRAVIERE;TOSIN MICHEL;DAHMANE ABDALLAH;;
ACJEUNES;02;CFR004;2023-11-12;11:00;0837251;VOLLEY BALL OLLIOULAIS;0060036;PAYS DE GRASSE VOLLEY-BALL; 2/1;25-16,19-25,15-12;59-53;PIEMONTESI;COUTY MANON;LIMACHER LIONEL;;
ACJEUNES;02;CFR005;2023-11-12;00:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0849721;DETENTE VERTICALE VEDENAISE; 2/0;25-11,25-12;50-23;PIEMONTESI;COUTY MANON;LIMACHER LIONEL;;
ACJEUNES;02;CFR006;2023-11-12;00:00;0837251;VOLLEY BALL OLLIOULAIS;0849721;DETENTE VERTICALE VEDENAISE; 2/0;25-19,25-12;50-31;PIEMONTESI;LIMACHER LIONEL;COUTY MANON;;
ACJEUNES;02;CFS004;2023-11-12;11:00;0136082;VITROLLES SPORTS VOLLEY-BALL;0307732;NIMES VOLLEY-BALL; 2/1;27-25,20-25,15-7;62-57;PIERRE DE COUBERTIN;BOULANGER JONAS;HADID MARIE-CHRISTINE;;
ACJEUNES;02;CFS005;2023-11-12;00:00;0307732;NIMES VOLLEY-BALL;0068779;CLUB OMNISPORTS DE VALBONNE; 2/0;25-19,25-14;50-33;PIERRE DE COUBERTIN;BOULANGER JONAS;HADID MARIE-CHRISTINE;;
ACJEUNES;02;CFS006;2023-11-12;00:00;0136082;VITROLLES SPORTS VOLLEY-BALL;0068779;CLUB OMNISPORTS DE VALBONNE; 2/0;25-15,25-9;50-24;PIERRE DE COUBERTIN;HADID MARIE-CHRISTINE;BOULANGER JONAS;;
ACJEUNES;02;CFT004;2023-11-12;11:00;0349150;LATTES ASPTT MONTPELLIER V.A.C;0347228;ENTENTE CASTRIES VOLLEY BALL; 2/0;25-6,25-4;50-10;BRIGITTE GEILER;GAY PHILIPPE;DUSSAUT REMY;;
ACJEUNES;02;CFT005;2023-11-12;00:00;0347228;ENTENTE CASTRIES VOLLEY BALL;0385990;US ST EGREVOISE; 1/2;25-21,7-25,5-15;37-61;BRIGITTE GEILER;GAY PHILIPPE;DUSSAUT REMY;;
ACJEUNES;02;CFT006;2023-11-12;00:00;0349150;LATTES ASPTT MONTPELLIER V.A.C;0385990;US ST EGREVOISE; 2/0;25-15,25-8;50-23;BRIGITTE GEILER;DUSSAUT REMY;GAY PHILIPPE;;
ACJEUNES;02;CFU004;2023-11-12;14:30;0839557;FREJUS VAR VOLLEY;0060008;MANDELIEU LA NAPOULE V.B.; 2/0;25-15,25-17;50-32;HALLE DES PORTS SAINT CROIX;BELDICO THOMAS;MIELNIK THOMAS;;
ACJEUNES;02;CFU005;2023-11-12;00:00;0060008;MANDELIEU LA NAPOULE V.B.;0061297;RACING CLUB DE CANNES; 0/2;9-25,6-25;15-50;HALLE DES PORTS SAINT CROIX;BELDICO THOMAS;MIELNIK THOMAS;;
ACJEUNES;02;CFU006;2023-11-12;00:00;0839557;FREJUS VAR VOLLEY;0061297;RACING CLUB DE CANNES; 0/2;13-25,22-25;35-50;HALLE DES PORTS SAINT CROIX;MIELNIK THOMAS;BELDICO THOMAS;;
ACJEUNES;02;CFV004;2023-11-12;11:00;0380027;VOLLEY LA TOUR DU PIN;0693938;CLUB RHODIA VAISE; 2/0;25-3,25-7;50-10;HALLE DES SPORTS;JAVANSHIR MASSOUD;BERTHOMIEU MÉLISSANDE;;
ACJEUNES;02;CFV005;2023-11-12;00:00;0693938;CLUB RHODIA VAISE;0388899;UN.SP.VALLEE DE LA GRESSE; 0/2;16-25,14-25;30-50;HALLE DES SPORTS;JAVANSHIR MASSOUD;BERTHOMIEU MÉLISSANDE;;
ACJEUNES;02;CFV006;2023-11-12;00:00;0380027;VOLLEY LA TOUR DU PIN;0388899;UN.SP.VALLEE DE LA GRESSE; 2/1;29-27,16-25,15-9;60-61;HALLE DES SPORTS;BERTHOMIEU MÉLISSANDE;JAVANSHIR MASSOUD;;
ACJEUNES;02;CFW004;2023-11-12;11:00;0698828;VBC FRANCHEVILLE OUEST LYONNAIS;0015366;VOLLEY CLUB MEXIMIEUX; 2/0;25-12,25-16;50-28;COMPLEXE SPORTIF;BASSET LIONEL;BURTIN GAËL;;
ACJEUNES;02;CFW005;2023-11-12;00:00;0015366;VOLLEY CLUB MEXIMIEUX;0077986;2GVB-GUILHERAND-GRANGES VOLLEY-BALL; 0/2;15-25,22-25;37-50;COMPLEXE SPORTIF;BASSET LIONEL;;;
ACJEUNES;02;CFW006;2023-11-12;00:00;0698828;VBC FRANCHEVILLE OUEST LYONNAIS;0077986;2GVB-GUILHERAND-GRANGES VOLLEY-BALL; 2/0;25-11,25-17;50-28;COMPLEXE SPORTIF;BASSET LIONEL;;;
ACJEUNES;02;CFX004;2023-11-12;11:00;0693493;PATRIOTE ENTRAIN DE SAINT DENIS (LYON PESD);0696380;AS CALUIRE ET CUIRE; 2/0;25-21,25-16;50-37;RENE BAILLIEU;BEKKARA MOHAMED;CHAFFA JOLY LÉNIE;;
ACJEUNES;02;CFX005;2023-11-12;00:00;0696380;AS CALUIRE ET CUIRE;0079102;F.R.J.E.P. CHARNAS; 2/0;25-14,25-15;50-29;RENE BAILLIEU;BEKKARA MOHAMED;CHAFFA JOLY LÉNIE;;
ACJEUNES;02;CFX006;2023-11-12;00:00;0693493;PATRIOTE ENTRAIN DE SAINT DENIS (LYON PESD);0079102;F.R.J.E.P. CHARNAS; 2/1;25-23,17-25,16-14;58-62;RENE BAILLIEU;CHAFFA JOLY LÉNIE;BEKKARA MOHAMED;;
ACJEUNES;02;CFY004;2023-11-12;10:00;0382203;CA VOLLEY BALL JALIOROMAIN;0429687;CLUB ATHLETIQUE DE ST ETIENNE; 0/2;17-25,21-25;38-50;GYMNASE LYCEE LA PLEIADE;DARFEUILLE JEROME;DESAYES JEAN-PHILIPPE;;
ACJEUNES;02;CFY005;2023-11-12;00:00;0429687;CLUB ATHLETIQUE DE ST ETIENNE;0634293;RIOM VOLLEY-BALL; 0/2;23-25,15-25;38-50;GYMNASE LYCEE LA PLEIADE;DESAYES JEAN-PHILIPPE;DARFEUILLE JEROME;;
