Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;99;MFA023;2022-05-20;15:00;0927924;C S M CLAMART;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION; 2/0;25-22,25-23;50-45;Terrain 1;POTAU MATHIEU;PETITJEAN SARAH;
ACJEUNES;99;MFA024;2022-05-20;18:00;0061297;RACING CLUB DE CANNES;0927924;C S M CLAMART; 2/1;22-25,25-15,15-13;62-53;Terrain 1;CARLOTTI PIERRE;POTAU MATHIEU;
ACJEUNES;99;MFB022;2022-05-20;10:30;0788680;AS. SP DE SARTROUVILLE;0839557;FREJUS VAR VOLLEY; 2/0;25-20,25-7;50-27;Terrain 2;PETITJEAN SARAH;RIBOULET SEBASTIEN;
ACJEUNES;99;MFB023;2022-05-20;15:00;0027343;VILLERS COTTERETS VOLLEY-BALL;0839557;FREJUS VAR VOLLEY; 1/2;19-25,25-6,12-15;56-46;Terrain 2;JOVIGNOT ROMUALD;LEGER OLIVIER;
ACJEUNES;99;MFB024;2022-05-20;18:00;0788680;AS. SP DE SARTROUVILLE;0027343;VILLERS COTTERETS VOLLEY-BALL; 2/0;25-13,25-17;50-30;Terrain 2;LEGER OLIVIER;JOVIGNOT ROMUALD;
ACJEUNES;99;MFC022;2022-05-20;09:00;0590036;VOLLEY CLUB DE VALENCIENNES;0351428;E.SP. CANTON DE PIPRIAC V.B.; 2/1;25-19,17-25,16-14;58-58;Terrain 1;;;
ACJEUNES;99;MFC023;2022-05-20;13:30;0686625;AS SP ENTREMONT RIXHEIM;0351428;E.SP. CANTON DE PIPRIAC V.B.; 2/0;25-19,25-22;50-41;Terrain 1;VEKEMAN JEREMY;NAVARRO LUCAS;
ACJEUNES;99;MFC024;2022-05-20;16:30;0686625;AS SP ENTREMONT RIXHEIM;0590036;VOLLEY CLUB DE VALENCIENNES; 2/0;25-20,25-16;50-36;Terrain 1;RIBOULET SEBASTIEN;VEKEMAN JEREMY;
ACJEUNES;99;MFD022;2022-05-20;09:00;0387013;UNION AS. SEYSSINOISE V.B.;0136761;ISTRES PROVENCE VOLLEY; 1/2;25-18,22-25,11-15;58-58;Terrain 2;WAMOWE NAHYDA;POTAU MATHIEU;
ACJEUNES;99;MFD023;2022-05-20;13:30;0345002;ASBAM MONTPELLIER;0136761;ISTRES PROVENCE VOLLEY; 1/2;27-25,22-25,9-15;58-65;Terrain 2;RIBOULET SEBASTIEN;DINARD QUENTIN;
ACJEUNES;99;MFD024;2022-05-20;16:30;0345002;ASBAM MONTPELLIER;0387013;UNION AS. SEYSSINOISE V.B.; 1/2;25-19,20-25,7-15;52-59;Terrain 2;DINARD QUENTIN;NAVARRO LUCAS;
ACJEUNES;99;MFE025;2022-05-21;09:00;0444976;VOLLEY-BALL NANTES;0345002;ASBAM MONTPELLIER; 1/2;21-25,25-17,10-15;56-57;Terrain 1;JOVIGNOT ROMUALD;DINARD QUENTIN;
ACJEUNES;99;MFE026;2022-05-21;09:00;0027343;VILLERS COTTERETS VOLLEY-BALL;0351428;E.SP. CANTON DE PIPRIAC V.B.; 2/1;25-8,18-25,17-15;60-48;Terrain 2;POTAU MATHIEU;CARLOTTI PIERRE;
ACJEUNES;99;MFE027;2022-05-21;15:00;0444976;VOLLEY-BALL NANTES;0351428;E.SP. CANTON DE PIPRIAC V.B.; 2/0;25-22,25-15;50-37;Terrain 1;VEKEMAN JEREMY;NAVARRO LUCAS;
ACJEUNES;99;MFE028;2022-05-21;15:00;0027343;VILLERS COTTERETS VOLLEY-BALL;0345002;ASBAM MONTPELLIER; 0/2;13-25,22-25;35-50;Terrain 2;LEGER OLIVIER;JOVIGNOT ROMUALD;
ACJEUNES;99;MFE029;2022-05-22;09:00;0444976;VOLLEY-BALL NANTES;0027343;VILLERS COTTERETS VOLLEY-BALL; 2/0;25-20,25-21;50-41;Terrain 1;PETITJEAN SARAH;JOVIGNOT ROMUALD;
ACJEUNES;99;MFE030;2022-05-22;09:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0345002;ASBAM MONTPELLIER; 2/1;20-25,25-19,15-12;60-56;Terrain 2;NAVARRO LUCAS;CARLOTTI PIERRE;
ACJEUNES;99;MFF025;2022-05-21;10:30;0061297;RACING CLUB DE CANNES;0590036;VOLLEY CLUB DE VALENCIENNES; 2/0;25-17,25-17;50-34;Terrain 1;PETITJEAN SARAH;LEGER OLIVIER;
ACJEUNES;99;MFF026;2022-05-21;10:30;0136761;ISTRES PROVENCE VOLLEY;0839557;FREJUS VAR VOLLEY; 2/0;25-17,25-20;50-37;Terrain 2;CARLOTTI PIERRE;RIBOULET SEBASTIEN;
ACJEUNES;99;MFF027;2022-05-21;13:30;0686625;AS SP ENTREMONT RIXHEIM;0387013;UNION AS. SEYSSINOISE V.B.; 2/0;25-22,25-19;50-41;Terrain 1;NAVARRO LUCAS;VEKEMAN JEREMY;
ACJEUNES;99;MFF028;2022-05-21;13:30;0788680;AS. SP DE SARTROUVILLE;0927924;C S M CLAMART; 2/1;27-25,23-25,15-10;65-60;Terrain 2;DINARD QUENTIN;PETITJEAN SARAH;
ACJEUNES;99;MFF029;2022-05-21;16:30;0590036;VOLLEY CLUB DE VALENCIENNES;0839557;FREJUS VAR VOLLEY; 1/2;22-25,25-21,9-15;56-61;Terrain 2;JOVIGNOT ROMUALD;POTAU MATHIEU;
ACJEUNES;99;MFF030;2022-05-21;18:00;0387013;UNION AS. SEYSSINOISE V.B.;0927924;C S M CLAMART; 2/1;25-19,19-25,15-4;59-48;Terrain 2;RIBOULET SEBASTIEN;LEGER OLIVIER;
ACJEUNES;99;MFF031;2022-05-21;16:30;0061297;RACING CLUB DE CANNES;0136761;ISTRES PROVENCE VOLLEY; 2/0;25-17,25-13;50-30;Terrain 1;CARLOTTI PIERRE;DINARD QUENTIN;
ACJEUNES;99;MFF032;2022-05-21;18:00;0686625;AS SP ENTREMONT RIXHEIM;0788680;AS. SP DE SARTROUVILLE; 2/0;25-18,25-22;50-40;Terrain 1;PETITJEAN SARAH;VEKEMAN JEREMY;
ACJEUNES;99;MFF033;2022-05-22;10:30;0590036;VOLLEY CLUB DE VALENCIENNES;0927924;C S M CLAMART; 2/1;25-12,15-25,15-8;55-45;Terrain 2;POTAU MATHIEU;LEGER OLIVIER;
ACJEUNES;99;MFF034;2022-05-22;10:30;0839557;FREJUS VAR VOLLEY;0387013;UNION AS. SEYSSINOISE V.B.; 0/2;19-25,14-25;33-50;Terrain 1;VEKEMAN JEREMY;PETITJEAN SARAH;
ACJEUNES;99;MFF035;2022-05-22;12:00;0136761;ISTRES PROVENCE VOLLEY;0788680;AS. SP DE SARTROUVILLE; 1/2;25-23,12-25,9-15;46-63;Terrain 1;CARLOTTI PIERRE;RIBOULET SEBASTIEN;
ACJEUNES;99;MFF036;2022-05-22;14:00;0061297;RACING CLUB DE CANNES;0686625;AS SP ENTREMONT RIXHEIM; 0/3;22-25,21-25,21-25;64-75;Terrain 1;DINARD QUENTIN;NAVARRO LUCAS;
