Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;03;BMT007;2021-12-12;13:00;0758425;PARIS VOLLEY CLUB;0941410;VIE AU GRAND AIR DE ST MAUR; 0/2;22-25,10-25;32-50;COUR DES LIONS;MAZZON JEREMY;;
ACJEUNES;03;BMT008;2021-12-12;00:00;0941410;VIE AU GRAND AIR DE ST MAUR;0923631;MEUDON CHAVILLE SEVRES VB; 2/1;16-25,25-23,15-7;56-55;COUR DES LIONS;MAZZON JEREMY;;
ACJEUNES;03;BMT009;2021-12-12;00:00;0758425;PARIS VOLLEY CLUB;0923631;MEUDON CHAVILLE SEVRES VB; 0/2;16-25,16-25;32-50;COUR DES LIONS;MAZZON JEREMY;;
ACJEUNES;03;BMU007;2021-12-12;11:00;0757777;PUC VOLLEY-BALL;0912701;PORTES DE L'ESSONNE VOLLEY-BALL; 2/0;25-16,25-8;50-24;KELLERMANN;PARISOT PIERRE;;
ACJEUNES;03;BMU008;2021-12-12;00:00;0912701;PORTES DE L'ESSONNE VOLLEY-BALL;0925271;ISSY LES MOULINEAUX V.B.; 1/2;19-25,25-21,11-15;55-61;KELLERMANN;PARISOT PIERRE;;
ACJEUNES;03;BMU009;2021-12-12;00:00;0757777;PUC VOLLEY-BALL;0925271;ISSY LES MOULINEAUX V.B.; 2/0;25-9,25-23;50-32;KELLERMANN;PARISOT PIERRE;;
ACJEUNES;04;BMA010;2022-01-16;11:00;0836296;DRAGUIGNAN UNION CLUB VAR VB;0060036;PAYS DE GRASSE VOLLEY-BALL; 2/1;21-25,25-21,15-2;61-48;GYMNASE COLL�GE ROSTAND;DAUSSIN ROMAIN;;
ACJEUNES;04;BMA011;2022-01-16;00:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0695668;VOLLEY BRON @ LYON LUMIERE; 2/0;25-13,25-18;50-31;GYMNASE COLL�GE ROSTAND;DAUSSIN ROMAIN;;
ACJEUNES;04;BMA012;2022-01-16;00:00;0836296;DRAGUIGNAN UNION CLUB VAR VB;0695668;VOLLEY BRON @ LYON LUMIERE; 2/0;25-12,25-14;50-26;GYMNASE COLL�GE ROSTAND;DAUSSIN ROMAIN;;
ACJEUNES;04;BMB010;2022-01-09;11:00;0066927;NICE VOLLEY-BALL;0060007;AS CANNES VOLLEY-BALL; 2/0;25-20,25-23;50-43;PALMEIRA-GIAMARCHI;RAMBAUD JORDAN;;
ACJEUNES;04;BMB011;2022-01-09;00:00;0060007;AS CANNES VOLLEY-BALL;0307732;NIMES VOLLEY-BALL; 0/2;13-25,18-25;31-50;PALMEIRA-GIAMARCHI;RAMBAUD JORDAN;;
ACJEUNES;04;BMB012;2022-01-09;00:00;0066927;NICE VOLLEY-BALL;0307732;NIMES VOLLEY-BALL; 2/1;3-25,25-23,17-15;45-63;PALMEIRA-GIAMARCHI;RAMBAUD JORDAN;;
ACJEUNES;04;BMC010;2022-01-16;11:00;0686678;AS SP ILLZACH MODENHEIM;0696380;AS CALUIRE ET CUIRE; 0/2;16-25,20-25;36-50;GYMNASE DE LA DOLLER;TARRACOR JACQUES;;
ACJEUNES;04;BMC011;2022-01-16;00:00;0696380;AS CALUIRE ET CUIRE;0925271;ISSY LES MOULINEAUX V.B.; 2/0;25-22,25-20;50-42;GYMNASE DE LA DOLLER;TARRACOR JACQUES;;
ACJEUNES;04;BMC012;2022-01-16;00:00;0686678;AS SP ILLZACH MODENHEIM;0925271;ISSY LES MOULINEAUX V.B.; 2/1;25-19,19-25,15-13;59-57;GYMNASE DE LA DOLLER;TARRACOR JACQUES;;
ACJEUNES;04;BMD010;2022-01-09;11:00;0544386;UNION SPORTIVE DU JARNISY;0686394;VBC KINGERSHEIM; 2/0;25-21,27-25;52-46;AUGUSTE DELAUNE;JACOBY SATINE;;
ACJEUNES;04;BMD011;2022-01-09;00:00;0686394;VBC KINGERSHEIM;0946784;VINCENNES VOLLEY CLUB; 0/2;10-25,16-25;26-50;AUGUSTE DELAUNE;JACOBY SATINE;NAGELS GEORGES;
ACJEUNES;04;BMD012;2022-01-09;00:00;0544386;UNION SPORTIVE DU JARNISY;0946784;VINCENNES VOLLEY CLUB; 0/2;17-25,17-25;34-50;AUGUSTE DELAUNE;JACOBY SATINE;NAGELS GEORGES;
ACJEUNES;04;BME010;2022-01-09;11:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0868442;VOUILLE VOLLEY BALL; 2/0;25-8,25-20;50-28;PIERRE FAVRE;GHENIMI NOUR'AMIR;;
ACJEUNES;04;BME011;2022-01-09;00:00;0868442;VOUILLE VOLLEY BALL;0345002;ASBAM MONTPELLIER; 0/2;4-25,20-25;24-50;PIERRE FAVRE;GHENIMI NOUR'AMIR;;
ACJEUNES;04;BME012;2022-01-09;00:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0345002;ASBAM MONTPELLIER; 0/2;17-25,14-25;31-50;PIERRE FAVRE;GHENIMI NOUR'AMIR;;
ACJEUNES;04;BMF010;2022-01-09;11:00;0862447;ALTERNA STADE POITEVIN VOLLEY BALL;0334980;UNION SPORTIVE TALENCAISE; 0/2;15-25,22-25;37-50;LAWSON BODY;CHAINTRE THIERRY;;
ACJEUNES;04;BMF011;2022-01-09;00:00;0334980;UNION SPORTIVE TALENCAISE;0343330;ARAGO DE SETE VOLLEY-BALL; 1/2;13-25,25-15,7-15;45-55;LAWSON BODY;CHAINTRE THIERRY;;
ACJEUNES;04;BMF012;2022-01-09;00:00;0862447;ALTERNA STADE POITEVIN VOLLEY BALL;0343330;ARAGO DE SETE VOLLEY-BALL; 1/2;7-25,25-21,15-17;47-63;LAWSON BODY;CHAINTRE THIERRY;;
ACJEUNES;04;BMG010;2022-01-09;10:30;0374861;TOURS VOLLEY-BALL;0842425;U.S. PONTET VOLLEY AVENIR; 0/2;19-25,16-25;35-50;SALLE DANTON;LOUVEAU HUGUES;;
ACJEUNES;04;BMG011;2022-01-09;00:00;0842425;U.S. PONTET VOLLEY AVENIR;0374835;MONTS VOLLEY-BALL; 2/0;25-18,25-19;50-37;SALLE DANTON;LOUVEAU HUGUES;;
ACJEUNES;04;BMG012;2022-01-09;00:00;0374861;TOURS VOLLEY-BALL;0374835;MONTS VOLLEY-BALL; 1/2;25-14,18-25,15-17;58-56;SALLE DANTON;LOUVEAU HUGUES;;
ACJEUNES;04;BMH010;2022-01-09;11:00;0442477;AILES SP BOUGUENAIS REZE;0449605;ST NAZAIRE VB ATLANTIQUE; 0/2;18-25,20-25;38-50;GYMNASE LIBERGE;TEXIER MALO;;
ACJEUNES;04;BMH011;2022-01-09;00:00;0449605;ST NAZAIRE VB ATLANTIQUE;0761503;MAROMME CANTELEU VOLLEY 76; 2/0;25-12,25-16;50-28;GYMNASE LIBERGE;TEXIER MALO;;
ACJEUNES;04;BMH012;2022-01-09;00:00;0442477;AILES SP BOUGUENAIS REZE;0761503;MAROMME CANTELEU VOLLEY 76; 0/2;22-25,26-28;48-53;GYMNASE LIBERGE;TEXIER MALO;;
ACJEUNES;04;BMI010;2022-01-09;11:00;0640001;LESCAR PROMOTION VOLLEY-BALL;0668034;VOLLEY BALL ST ESTEVE; 1/2;20-25,25-14,11-15;56-54;PAUL FORT;SAES MARIE;;
ACJEUNES;04;BMI011;2022-01-09;00:00;0668034;VOLLEY BALL ST ESTEVE;0136082;VITROLLES SPORTS VOLLEY-BALL; 2/0;25-23,25-17;50-40;PAUL FORT;SAES MARIE;;
ACJEUNES;04;BMI012;2022-01-09;00:00;0640001;LESCAR PROMOTION VOLLEY-BALL;0136082;VITROLLES SPORTS VOLLEY-BALL; 2/1;16-25,25-17,15-10;56-52;PAUL FORT;SAES MARIE;;
ACJEUNES;04;BMJ010;2022-01-09;11:00;0358885;ENT.SP.CULT. MOULINS;0353652;C.P.B. RENNES 35; 0/2;19-25,20-25;39-50;SALLE DES SPORTS;RUBIN THOMAS;;
ACJEUNES;04;BMJ011;2022-01-09;00:00;0353652;C.P.B. RENNES 35;0534442;ASPTT LAVAL; 2/0;25-19,25-8;50-27;SALLE DES SPORTS;RUBIN THOMAS;;
ACJEUNES;04;BMJ012;2022-01-09;00:00;0358885;ENT.SP.CULT. MOULINS;0534442;ASPTT LAVAL; 2/1;25-20,21-25,15-13;61-58;SALLE DES SPORTS;RUBIN THOMAS;;
ACJEUNES;04;BMK010;2022-01-09;11:00;0923631;MEUDON CHAVILLE SEVRES VB;0921672;SAINT-CLOUD PARIS SF; 2/1;25-21,17-25,15-12;57-58;HALIMI;PARISOT PIERRE;;
ACJEUNES;04;BMK011;2022-01-09;00:00;0921672;SAINT-CLOUD PARIS SF;0927924;C S M CLAMART; 2/1;25-23,21-25,15-10;61-58;HALIMI;PARISOT PIERRE;;
ACJEUNES;04;BMK012;2022-01-09;00:00;0923631;MEUDON CHAVILLE SEVRES VB;0927924;C S M CLAMART; 2/0;25-23,25-18;50-41;HALIMI;PARISOT PIERRE;;
