Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;03;CFD009;2021-12-12;00:00;0543620;VANDOEUVRE-NANCY VOLLEY-BALL;0675289;A.S. VALLEE DE LA SAUER; 2/0;25-11,25-9;50-20;MONPLAISIR;ADNOT CHRISTOPHER;LEPAGE BENOIT;
ACJEUNES;03;CFE007;2021-12-12;11:00;0686394;VBC KINGERSHEIM;0686625;AS SP ENTREMONT RIXHEIM; 0/2;20-25,12-25;32-50;COSEC;SIFFERLEN YVES;PARRAVICINI LOLA;
ACJEUNES;03;CFE008;2021-12-12;00:00;0686625;AS SP ENTREMONT RIXHEIM;0579619;ASVB YUTZ THIONVILLE; 2/0;25-17,25-15;50-32;COSEC;PARRAVICINI LOLA;DJITTEYE TIDIANI;
ACJEUNES;03;CFE009;2021-12-12;00:00;0686394;VBC KINGERSHEIM;0579619;ASVB YUTZ THIONVILLE; 2/0;25-15,25-20;50-35;COSEC;SIFFERLEN YVES;PARRAVICINI LOLA;
ACJEUNES;03;CFF007;2021-12-12;11:00;0623082;STELLA EDU SP CALAIS;0599848;DUNKERQUE GRAND LITTORAL V.B.; 2/0;25-10,25-15;50-25;CALYPSO;MIRZAK IMAD;SPYCHAJ MELANIE;
ACJEUNES;03;CFF008;2021-12-12;00:00;0599848;DUNKERQUE GRAND LITTORAL V.B.;0599408;VOLLEY-BALL CLUB CYSOING; 0/2;15-25,11-25;26-50;CALYPSO;MIRZAK IMAD;SPYCHAJ MELANIE;
ACJEUNES;03;CFF009;2021-12-12;00:00;0623082;STELLA EDU SP CALAIS;0599408;VOLLEY-BALL CLUB CYSOING; 2/0;25-21,25-19;50-40;CALYPSO;SPYCHAJ MELANIE;MIRZAK IMAD;
ACJEUNES;03;CFG007;2021-12-12;11:00;0622016;TOUQUET A.C. VOLLEY-BALL AND BEACH;0628929;VOLLEY CLUB HARNES; 2/0;25-12,25-20;50-32;GYMNASE GERARD BASCOULERGUE;SANCHES ADILIO;LAURENT ERIC;
ACJEUNES;03;CFG008;2021-12-12;00:00;0628929;VOLLEY CLUB HARNES;0599844;MOUVEMENT VOLLEY BALL; 2/0;25-10,25-6;50-16;GYMNASE GERARD BASCOULERGUE;SANCHES ADILIO;LAURENT ERIC;
ACJEUNES;03;CFG009;2021-12-12;00:00;0622016;TOUQUET A.C. VOLLEY-BALL AND BEACH;0599844;MOUVEMENT VOLLEY BALL; 2/0;25-10,25-15;50-25;GYMNASE GERARD BASCOULERGUE;LAURENT ERIC;SANCHES ADILIO;
