Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;02;BMO004;2021-11-14;11:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;0351428;E.SP. CANTON DE PIPRIAC V.B.; 2/0;25-22,25-22;50-44;GYMNASE RACINE;KERAUTRET MATTEO;COMMAULT GAURY ANA;;
ACJEUNES;02;BMO005;2021-11-14;00:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0146341;VOLLEY CLUB HEROUVILLE; 2/1;20-25,25-17,15-11;60-53;GYMNASE RACINE;COMMAULT GAURY ANA;KERAUTRET MATTEO;;
ACJEUNES;02;BMO006;2021-11-14;00:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;0146341;VOLLEY CLUB HEROUVILLE; 2/1;21-25,25-13,15-10;61-48;GYMNASE RACINE;KERAUTRET MATTEO;COMMAULT GAURY ANA;;
ACJEUNES;02;BMP004;2021-11-14;11:00;0115113;UNION SPORTIVE ROUBIANAISE;0345002;ASBAM MONTPELLIER; 0/2;12-25,9-25;21-50;SALLE MUNICIPALE;GRIFFET THEO;;;
ACJEUNES;02;BMP005;2021-11-14;00:00;0345002;ASBAM MONTPELLIER;0819413;VOLLEY CLUB BASTIDIEN; 2/0;25-4,25-13;50-17;SALLE MUNICIPALE;GRIFFET THEO;;;
ACJEUNES;02;BMP006;2021-11-14;00:00;0115113;UNION SPORTIVE ROUBIANAISE;0819413;VOLLEY CLUB BASTIDIEN; 2/0;25-6,25-22;50-28;SALLE MUNICIPALE;GRIFFET THEO;;;
ACJEUNES;02;BMQ004;2021-11-14;11:00;0668034;VOLLEY BALL ST ESTEVE;0343330;ARAGO DE SETE VOLLEY-BALL; 1/2;21-25,25-23,8-15;54-63;FRISON ROCHE;CROS JONATHAN;;;
ACJEUNES;02;BMQ005;2021-11-14;00:00;0343330;ARAGO DE SETE VOLLEY-BALL;0310022;AVENIR FONSORBAIS VOLLEY-BALL; 2/0;25-13,25-8;50-21;FRISON ROCHE;CROS JONATHAN;;;
ACJEUNES;02;BMQ006;2021-11-14;00:00;0668034;VOLLEY BALL ST ESTEVE;0310022;AVENIR FONSORBAIS VOLLEY-BALL; 2/0;25-16,25-20;50-36;FRISON ROCHE;CROS JONATHAN;;;
ACJEUNES;02;BMR004;2021-11-14;11:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0640001;LESCAR PROMOTION VOLLEY-BALL; 0/2;18-25,22-25;40-50;PIERRE FAVRE;ALI MOUSSA;;;
ACJEUNES;02;BMR005;2021-11-14;00:00;0640001;LESCAR PROMOTION VOLLEY-BALL;0646282;MJC LES FLEURS DE PAU; 2/0;25-10,25-18;50-28;PIERRE FAVRE;;;;
ACJEUNES;02;BMR006;2021-11-14;00:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0646282;MJC LES FLEURS DE PAU; 2/0;25-9,25-10;50-19;PIERRE FAVRE;;;;
ACJEUNES;02;BMS004;2021-11-14;11:00;0330014;J.S.A. BORDEAUX;0334980;UNION SPORTIVE TALENCAISE; 0/2;23-25,11-25;34-50;SALLE MAITRE JEAN;REQUEDA SYLVAIN;;;
ACJEUNES;02;BMS005;2021-11-14;00:00;0334980;UNION SPORTIVE TALENCAISE;0648903;JURANCON CHAPELLE ROUSSE V.B.; 2/0;25-10,25-12;50-22;SALLE MAITRE JEAN;REQUEDA SYLVAIN;;;
ACJEUNES;02;BMS006;2021-11-14;00:00;0330014;J.S.A. BORDEAUX;0648903;JURANCON CHAPELLE ROUSSE V.B.; 0/2;19-25,23-25;42-50;SALLE MAITRE JEAN;REQUEDA SYLVAIN;;;
ACJEUNES;02;BMT004;2021-11-14;11:00;0454144;ETUDIANT CLUB ORLEANAIS;0374835;MONTS VOLLEY-BALL; 0/2;16-25,14-25;30-50;GYMNASE CLAUDE ROBERT;BEZY MARY-EMMANUEL;;;
