Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;04;CMU010;2024-01-21;11:00;0599844;MOUVEMENT VOLLEY BALL;0788680;AS. SP DE SARTROUVILLE; 0/2;21-25,23-25;44-50;SALLE JULES FERRY;KERCKHOVE VINCENT;RICHART OLIVIER;
ACJEUNES;04;CMU011;2024-01-21;00:00;0788680;AS. SP DE SARTROUVILLE;0761497;AGGLO SUD VOLLEY-BALL 76; 2/0;25-8,25-15;50-23;SALLE JULES FERRY;RICHART OLIVIER;KERCKHOVE VINCENT;
ACJEUNES;04;CMU012;2024-01-21;00:00;0599844;MOUVEMENT VOLLEY BALL;0761497;AGGLO SUD VOLLEY-BALL 76; 2/0;25-22,25-11;50-33;SALLE JULES FERRY;KERCKHOVE VINCENT;RICHART OLIVIER;
ACJEUNES;04;CMV010;2024-01-21;11:00;0724695;JEUNESSE SPORT COULAINES;0784696;AS VOLLEY-BALL VELIZY; 2/0;25-21,25-21;50-42;CAMUS;DINDAULT CEDRIC;ROUSSET FREDERIC;
ACJEUNES;04;CMV011;2024-01-21;00:00;0784696;AS VOLLEY-BALL VELIZY;0607729;BEAUVAIS OISE UC VOLLEY; 2/0;25-17,25-18;50-35;CAMUS;ROUSSET FREDERIC;DINDAULT CEDRIC;
ACJEUNES;04;CMV012;2024-01-21;00:00;0724695;JEUNESSE SPORT COULAINES;0607729;BEAUVAIS OISE UC VOLLEY; 2/0;25-10,25-18;50-28;CAMUS;DINDAULT CEDRIC;ROUSSET FREDERIC;
ACJEUNES;04;CMW010;2024-01-21;11:00;0929372;PLESSIS-ROBINSON VOLLEY-BALL;0941410;VIE AU GRAND AIR DE ST MAUR; 2/0;25-12,25-13;50-25;OMNISPORTS;ULYSSE GUY-ROBEL;ANDRIANANDRAINA BRILLANT;
ACJEUNES;04;CMW011;2024-01-21;00:00;0941410;VIE AU GRAND AIR DE ST MAUR;0590036;VOLLEY CLUB DE VALENCIENNES; 2/0;25-7,25-14;50-21;OMNISPORTS;ULYSSE GUY-ROBEL;ANDRIANANDRAINA BRILLANT;
ACJEUNES;04;CMW012;2024-01-21;00:00;0929372;PLESSIS-ROBINSON VOLLEY-BALL;0590036;VOLLEY CLUB DE VALENCIENNES; 2/0;25-6,25-15;50-21;OMNISPORTS;ANDRIANANDRAINA BRILLANT;ULYSSE GUY-ROBEL;
ACJEUNES;04;CMX010;2024-01-21;12:00;0575650;MAIZIERES ATHLETIC CLUB VOLLEY-BALL;0912762;VOLLEY-BALL DE MILLY LA FORET; 0/2;19-25,13-25;32-50;COMPLEXE CAMILLE MATHIEU;FOURNIER BIDOZ MATTHIAS;PETITJEAN THIERRY;
ACJEUNES;04;CMX011;2024-01-21;00:00;0912762;VOLLEY-BALL DE MILLY LA FORET;0761503;MAROMME CANTELEU VOLLEY 76; 2/0;28-26,25-19;53-45;COMPLEXE CAMILLE MATHIEU;PETITJEAN THIERRY;FOURNIER BIDOZ MATTHIAS;
ACJEUNES;04;CMX012;2024-01-21;00:00;0575650;MAIZIERES ATHLETIC CLUB VOLLEY-BALL;0761503;MAROMME CANTELEU VOLLEY 76; 2/1;20-25,25-14,15-11;60-50;COMPLEXE CAMILLE MATHIEU;FOURNIER BIDOZ MATTHIAS;PETITJEAN THIERRY;
ACJEUNES;04;CMY010;2024-01-21;11:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0866049;UNION SPORTIVE VIVONNE; 2/0;25-14,27-25;52-39;PIERRE FAVRE;STRENS JULIEN;MOUDACHE LYES;
ACJEUNES;04;CMY011;2024-01-21;00:00;0866049;UNION SPORTIVE VIVONNE;0921672;SAINT-CLOUD PARIS SF; 0/2;22-25,18-25;40-50;PIERRE FAVRE;STRENS JULIEN;MOUDACHE LYES;
ACJEUNES;04;CMY012;2024-01-21;00:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0921672;SAINT-CLOUD PARIS SF; 2/0;29-27,27-25;56-52;PIERRE FAVRE;MOUDACHE LYES;STRENS JULIEN;
ACJEUNES;04;CMZ010;2024-01-21;11:00;0906468;ASM BELFORT VOLLEY-BALL;0255795;BESANCON VOLLEY-BALL; 2/0;25-11,25-13;50-24;GYMNASE LÉO LAGRANGE;PICAUT EMMANUEL;FROMENTIN DIDIER;
ACJEUNES;04;CMZ011;2024-01-21;00:00;0255795;BESANCON VOLLEY-BALL;0941104;ENTENTE SPORTIVE DE VILLIERS; 0/2;20-25,24-26;44-51;GYMNASE LÉO LAGRANGE;PICAUT EMMANUEL;FROMENTIN DIDIER;
ACJEUNES;04;CMZ012;2024-01-21;00:00;0906468;ASM BELFORT VOLLEY-BALL;0941104;ENTENTE SPORTIVE DE VILLIERS; 2/1;23-25,25-21,16-14;64-60;GYMNASE LÉO LAGRANGE;FROMENTIN DIDIER;PICAUT EMMANUEL;
ACJEUNES;04;CX1010;2024-01-21;11:00;0685479;UNION SPORTIVE MULHOUSE VOLLEY;0943861;CNM CHARENTON; 0/2;17-25,21-25;38-50;COSEC BOURTZWILLER;SIFFERLEN YVES;TARRACOR JACQUES;
ACJEUNES;04;CX1011;2024-01-21;00:00;0943861;CNM CHARENTON;0750043;SPORTING CLUB NORD PARISIEN; 2/0;25-16,25-20;50-36;COSEC BOURTZWILLER;TARRACOR JACQUES;SIFFERLEN YVES;
ACJEUNES;04;CX1012;2024-01-21;00:00;0685479;UNION SPORTIVE MULHOUSE VOLLEY;0750043;SPORTING CLUB NORD PARISIEN; 2/0;25-18,25-16;50-34;COSEC BOURTZWILLER;SIFFERLEN YVES;TARRACOR JACQUES;
