Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;JFQ001;2023-11-12;11:00;0948279;AS ELAN CHEVILLY-LARUE;0912701;PORTES DE L'ESSONNE VOLLEY-BALL; 0/2;13-25,9-25;22-50;GYMNASE PASTEUR;DJEDDI SAAD;;;
ACJEUNES;01;JFQ002;2023-11-12;00:00;0912701;PORTES DE L'ESSONNE VOLLEY-BALL;0950033;AS. VOLLEY OSNY PONTOISE; 2/0;25-8,25-18;50-26;GYMNASE PASTEUR;DJEDDI SAAD;;;
ACJEUNES;01;JFQ003;2023-11-12;00:00;0948279;AS ELAN CHEVILLY-LARUE;0950033;AS. VOLLEY OSNY PONTOISE; 2/1;25-6,23-25,15-12;63-43;GYMNASE PASTEUR;DJEDDI SAAD;;;
ACJEUNES;01;JFR001;2023-11-12;11:00;0757777;PUC VOLLEY-BALL;0928481;LEVALLOIS SPORTING CLUB; 2/0;25-12,25-15;50-27;CHARPY;GILBERT SIMON;;;
ACJEUNES;01;JFR002;2023-11-12;00:00;0928481;LEVALLOIS SPORTING CLUB;0947898;U S DE CRETEIL; 2/0;25-19,25-20;50-39;CHARPY;GILBERT SIMON;;;
ACJEUNES;01;JFR003;2023-11-12;00:00;0757777;PUC VOLLEY-BALL;0947898;U S DE CRETEIL; 2/0;25-15,25-4;50-19;CHARPY;GILBERT SIMON;;;
ACJEUNES;01;JFS001;2023-11-12;11:00;0773754;U.S. JEUNESSE MITRY V.B.;0757954;PARIS AMICALE CAMOU; 0/2;13-25,8-25;21-50;GYMNASE OSTERMEYER;REGARD SANDRINE;;;
ACJEUNES;01;JFS002;2023-11-12;00:00;0757954;PARIS AMICALE CAMOU;0776776;COULOMMIERS VOLLEY-BALL; 2/0;25-17,25-9;50-26;GYMNASE OSTERMEYER;REGARD SANDRINE;;;
ACJEUNES;01;JFS003;2023-11-12;00:00;0773754;U.S. JEUNESSE MITRY V.B.;0776776;COULOMMIERS VOLLEY-BALL; 0/2;22-25,20-25;42-50;GYMNASE OSTERMEYER;REGARD SANDRINE;;;
ACJEUNES;01;JFT001;2023-11-12;11:00;0758706;AS. SP. CULT. DUNOIS;0927924;C S M CLAMART; 0/2;12-25,9-25;21-50;DUNOIS;MAZZON JEREMY;;;
ACJEUNES;01;JFT002;2023-11-12;00:00;0927924;C S M CLAMART;0279735;VOLLEY-BALL GAILLON AUBEVOYE; 2/0;25-3,25-5;50-8;DUNOIS;MAZZON JEREMY;;;
ACJEUNES;01;JFT003;2023-11-12;00:00;0758706;AS. SP. CULT. DUNOIS;0279735;VOLLEY-BALL GAILLON AUBEVOYE; 2/0;25-10,25-17;50-27;DUNOIS;MAZZON JEREMY;;;
ACJEUNES;01;JFU001;2023-11-12;11:00;0119381;M.J.C. COURSAN;0319362;UNION SPORTIVE RAMONVILLE V.B.; 0/2;25-27,22-25;47-52;MICHEL BARRIERE;ROYO LINDA;BERTRAND JOELLE;;
ACJEUNES;01;JFU002;2023-11-12;00:00;0319362;UNION SPORTIVE RAMONVILLE V.B.;0310022;FONSORBES SEYSSES VOLLEY-BALL; 0/2;5-25,23-25;28-50;MICHEL BARRIERE;BERTRAND JOELLE;ROYO LINDA;;
ACJEUNES;01;JFU003;2023-11-12;00:00;0119381;M.J.C. COURSAN;0310022;FONSORBES SEYSSES VOLLEY-BALL; 0/2;21-25,15-25;36-50;MICHEL BARRIERE;ROYO LINDA;BERTRAND JOELLE;;
ACJEUNES;01;JFV001;2023-11-12;11:00;0219695;DIJON TALANT VOLLEY-BALL;0255803;VOLLEY SAINT VITOIS; P/2;0-25,0-25;0-50;GYMNASE BERNARD SANTONA;SAINT VOIRIN VINCENT;FROMENTIN DIDIER;;
ACJEUNES;01;JFV002;2023-11-12;00:00;0255803;VOLLEY SAINT VITOIS;0898444;SENS VOLLEY 89; 0/2;14-25,12-25;26-50;GYMNASE BERNARD SANTONA;SAINT VOIRIN VINCENT;FROMENTIN DIDIER;;
ACJEUNES;01;JFV003;2023-11-12;00:00;0219695;DIJON TALANT VOLLEY-BALL;0898444;SENS VOLLEY 89; 2/1;23-25,33-31,15-7;71-63;GYMNASE BERNARD SANTONA;FROMENTIN DIDIER;SAINT VOIRIN VINCENT;;
ACJEUNES;01;JFW001;2023-11-12;11:00;0382201;GRENOBLE V.UNIVERSITE CLUB;0387013;UNION AS. SEYSSINOISE V.B.; 0/2;13-25,19-25;32-50;MALHERBE;METAIS ARIETTE;ESPINAL MIGUELANGEL;;
ACJEUNES;01;JFW002;2023-11-12;00:00;0387013;UNION AS. SEYSSINOISE V.B.;0695743;VOLLEY-BALL PAYS VIENNOIS; 2/0;25-17,25-16;50-33;MALHERBE;ESPINAL MIGUELANGEL;METAIS ARIETTE;;
ACJEUNES;01;JFW003;2023-11-12;00:00;0382201;GRENOBLE V.UNIVERSITE CLUB;0695743;VOLLEY-BALL PAYS VIENNOIS; 0/2;25-27,21-25;46-52;MALHERBE;METAIS ARIETTE;ESPINAL MIGUELANGEL;;
ACJEUNES;01;JFX001;2023-11-12;11:00;0698293;U.S. MEYZIEU VOLLEY-BALL;0691865;ASS SPORTIVE DARDILLOISE; 2/0;25-11,25-14;50-25;GYMNASE GALOIS;MONTAGNE GEOFFREY;TOUH AMINE;;
ACJEUNES;01;JFX002;2023-11-12;00:00;0691865;ASS SPORTIVE DARDILLOISE;0429687;CLUB ATHLETIQUE DE ST ETIENNE; 0/2;22-25,17-25;39-50;GYMNASE GALOIS;MONTAGNE GEOFFREY;TOUH AMINE;;
ACJEUNES;01;JFX003;2023-11-12;00:00;0698293;U.S. MEYZIEU VOLLEY-BALL;0429687;CLUB ATHLETIQUE DE ST ETIENNE; 2/1;20-25,25-14,17-15;62-54;GYMNASE GALOIS;TOUH AMINE;MONTAGNE GEOFFREY;;
ACJEUNES;01;JFY001;2023-11-12;11:00;0765200;ASPTT ROUEN MSA VB;0148994;ELAN SPORTIF DE CARPIQUET DE VOLLEY; 0/2;12-25,14-25;26-50;GYMNASE JEANNE D ARC;LEGOFF ROMANE;LEGOFF ROMANE;;
ACJEUNES;01;JFY002;2023-11-12;00:00;0148994;ELAN SPORTIF DE CARPIQUET DE VOLLEY;0455556;NEUVILLE SPORTS; 2/1;19-25,25-16,15-6;59-47;GYMNASE JEANNE D ARC;LEGOFF ROMANE;;;
ACJEUNES;01;JFY003;2023-11-12;00:00;0765200;ASPTT ROUEN MSA VB;0455556;NEUVILLE SPORTS; 1/2;25-22,21-25,7-15;53-62;GYMNASE JEANNE D ARC;LEGOFF ROMANE;;;
